Feature,Importance
lag_1,0.8280098
lag_24,0.099341966
hour,0.008783493
rolling_mean_6,0.006905297
lag_48,0.0065368563
lag_3,0.0050484827
rolling_min_24,0.0045240456
lag_168,0.004355663
temp_patna,0.0038589842
rolling_max_24,0.003789908
temperature_avg,0.0029977732
lag_12,0.002588463
is_weekend,0.0022413793
rolling_mean_24,0.0019215059
temp_bhubaneswar,0.0018781516
day_of_week,0.0017510987
temp_ranchi,0.0016043567
wind_speed_avg,0.0015623138
month,0.0015572972
gen_hydro_mu,0.0015542302
temp_kolkata,0.0013800302
cloud_cover_avg,0.0012730324
gen_coal_mu,0.0011013797
lag_6,0.0009114056
rolling_std_24,0.00083897426
gen_total_mu,0.0008141686
humidity_avg,0.00072282675
share_nonfossil_pct,0.0006777564
gen_res_mu,0.0005747482
day,0.0005423206
share_res_pct,0.00035229226
